"Ventas por linea de artículo","","","","","","","","","","",""
"","Desclinea","Articulo","Descripción","Cant.Vendida","Importe","Impuesto","Total","","$11,041,226.83","$8,376,760.82","75.87%"
"YOG","YOGHURT                                           ","YOYAK","Yakult  PZA","11512","56110.113","0","56110.113","","","",""
"GELA","GELATINA                                          ","GEGAR","Gelatina Gari  Surtida 140g","5724","53993.707","0","53993.707","","","",""
"HARINA","HARINAS                                           ","HACUS","Harina CUSPIDE KG","5863","50826.7154824","0","50826.7154824","","","",""
"ACEITES","ACEITES                                           ","ACCRI50","Aceite Cristal 5lt","376","50395","0","50395","","","",""
"SEM","SEMILLAS                                          ","SEARRC","ARROZ CHETINO SAN DIEGO","2565.16","50072.405","0","50072.405","","","",""
"CALDO","CALDOS                                            ","CANORE","Knorr suiza ESTUCHE 22g","18392","49593.49","0","49593.49","","","",""
"LEC","LECHES                                            ","LEALPD","Alpura  DESLACTOSADA 1lt","2369","45061.17712","0","45061.17712","","","",""
"CLORO","CLOROS                                            ","CLGOL1","Golondrina 1lt","5279","44767.116","0","44767.116","","","",""
"HIGIENICO","HIGIENICOS                                        ","HIVOG","Vogue  MORADO 4r/400 HOJAS","1903","44379.1148","0","44379.1148","","","",""
"MAY","MAYONESAS                                         ","MAMACI","Mayonesa McCormick Institucional 3.4kg","250","44292.6","0","44292.6","","","",""
"ACEITES","ACEITES                                           ","ACMAR1","Aceite Maravilla 1 lt","1738","44144.33096","0","44144.33096","","","",""
"ACEITES","ACEITES                                           ","ACCRI1","Aceite Cristal 1lt","1687","43804.81304","0","43804.81304","","","",""
"ACEITES","ACEITES                                           ","ACNUT1","Aceite Nutrioli 850ml","1557","41762.77296","0","41762.77296","","","",""
"DET","DETERGENTES ROPA","DEROM1","Roma  1kg","1314","41077.8","0","41077.8","","","",""
"VELADORAS","VELADORAS","VELIMM","Limonero MEGA pz","3851","40619.25","0","40619.25","","","",""
"SAL","SALES                                             ","SAROCF","Sal Roche REFINADA kg","7623.55","38074.4","0","38074.4","","","",""
"HARINA","HARINAS                                           ","HAMAS","Maseca 1kg","2791","36793.55","0","36793.55","","","",""
"VELADORAS","VELADORAS","VELIMCAY","Limonero Carmina Llenado","2248","36702.59","0","36702.59","","","",""
"DET","DETERGENTES ROPA","DEROM5","Roma   500gr","2365","36361","0","36361","","","",""
"JAM","JAMON                                             ","JAVIVV","Jamon VIVA Viva kg","611.21","36353.3325","0","36353.3325","","","",""
"SAL","SALES                                             ","SAROC","Sal Roche Granulada kg","7915","36028.0068","0","36028.0068","","","",""
"SAL","SALES                                             ","SAFIN","Sal FINA 1kg","3125","35907.048","0","35907.048","","","",""
"CHOCOLATE","CHOCOLATES","CHABUGP","Abuelita GD PILON 7/90g","487","35780.0308","0","35780.0308","","","",""
"CHOCOLATE","CHOCOLATES","CHABUG","TABLILLA Abuelita GD 90gr","3369","35680.07758","0","35680.07758","","","",""
"MAIZ","MAIZENAS                                          ","HAMAIES","Maizena   SABOR SOBRE 47gr","5767","35394.732","0","35394.732","","","",""
"ACEITES","ACEITES                                           ","ACRAD5","Aceite RADORA  5lt","283","35273","0","35273","","","",""
"LEC","LECHES                                            ","LEVAI","Leche VAIL 1lt","3312","33837.1015","0","33837.1015","","","",""
"MAY","MAYONESAS                                         ","MAMAC8","Mayonesa McCormick  8 190g","2018","33817.5616","0","33817.5616","","","",""
"CIGARRO","CIGARROS                                          ","CIMALR","Marlboro Doble Capsula Ruby 20c","554","33721.4","0","33721.4","","","",""
"SOP","SOPAS                                             ","SOMODESP","Espaguetti la moderna  C/20 pza","298","32110.5","0","32110.5","","","",""
"CEREAL","CEREALES                                          ","CEZUCG","Zucaritas GOLDEN KG","836.535","31706.1051","0","31706.1051","","","",""
"VELADORAS","VELADORAS","VEFAR4","Farol #4  PZ","2525","31563.75","0","31563.75","","","",""
"VELADORAS","VELADORAS","VECIRA","Cirio Gigante ASTRIADO","3367","31139.08","0","31139.08","","","",""
"SALS","SALSAS                                            ","SABOT4","Salsa Botanera 4 LT","639","31108.1196","0","31108.1196","","","",""
"CALDO","CALDOS                                            ","CATOM","Caldo TOMATISIMO 2/11g","11568","30747.6","0","30747.6","","","",""
"ATUN","ATUNES                                            ","ATDOL","Atun Dolores CH ACEITE 140","1899","30707.0934","0","30707.0934","","","",""
"VELADORAS","VELADORAS","VECUBL","Cubero CIELO LISO","1769","30348.4","0","30348.4","","","",""
"CHIENLA","CHILES ENLATADOS","CHCHI2","Chipotle  215 SAN MARCOS","1747","29866.65832","0","29866.65832","","","",""
"CAFES","CAFES","CANESCL42","Nescafe CLASICO  42g","1270","29537.2588","0","29537.2588","","","",""
"ACEITES","ACEITES                                           ","AC1231","Aceite 123 1lt","1034","29023.703","0","29023.703","","","",""
"PIÑ","PIÑAS                                             ","PIKARR8","Piña Karina Rebanadas 800g","816","28462.9739","0","28462.9739","","","",""
"HIGIENICO","HIGIENICOS                                        ","HIREG5","Regio 4 R /455 HOJAS","1308","28361.35","0","28361.35","","","",""
"CAFES","CAFES","CALEG4","Legal 400gr","475","28329.0992","0","28329.0992","","","",""
"TOS","TOSTADAS                                          ","TOFIE","Tostadas Fiesta del Bajio 275g","2090","27761.4659","0","27761.4659","","","",""
"JAPAS","JABONES PASTA","JPZOTG","Zote ROSA GD 400g","1880","27418.5829","0","27418.5829","","","",""
"CRCOM","CREMAS COMESTIBLES                                ","CRALP5","CREMA Alpura  450ml","1036","27246.5084","0","27246.5084","","","",""
"SOP","SOPAS                                             ","SOMARCH","Maruchan CAMARON/PIQUIN pza","2957","27001.51716","0","27001.51716","","","",""
"SOP","SOPAS                                             ","SOMODFI","Fideo 0 la MODERNA 20pz","245","26377.5","0","26377.5","","","",""
"CAFES","CAFES","CANESC12","Nescafe CLASICO 120g","424","26313.402192","0","26313.402192","","","",""
"JAM","JAMON                                             ","JAVIV","Jamon VIVA MQA 5kg","93","26150","0","26150","","","",""
"LEC","LECHES                                            ","LEALP","Alpura   ROJA 1lt","1352","26050.4134","0","26050.4134","","","",""
"MAN","MANTECAS                                          ","MACOL","Manteca COLON 24 KG","43","25786","0","25786","","","",""
"QUE","QUESOS                                            ","QUPAN","Queso PANELA Arbolitos kg","383.1","25608.24","0","25608.24","","","",""
"GALLETAS","GALLETAS","GAMARGA","Marias GAMESA 20/170g","136","23535.5","0","23535.5","","","",""
"PAÑ","PAÑALES                                           ","PAABSJ4","Absorsec JUM c/40 PZ","192","23525.9","0","23525.9","","","",""
"MAY","MAYONESAS                                         ","MAMAC16","Mayonesa McCormick 16  390g","739","23193.7852","0","23193.7852","","","",""
"VELADORAS","VELADORAS","VECUCA","Cubero CARMINA Decorado pza","1358","22791.65","0","22791.65","","","",""
"VELADORAS","VELADORAS","VELIMCA","Limonero Carmina  Repuesto","1536","22558.685","0","22558.685","","","",""
"FRITURA","FRITURAS                                          ","FRSAB","Sabrisurtido C/30+5pz","113","22487","0","22487","","","",""
"MAN","MANTECAS                                          ","MACER","Manteca CERDO 17KG","60","22347","0","22347","","","",""
"CLORO","CLOROS                                            ","CLCLO1","Cloralex 950ml","1858","22321.15464","0","22321.15464","","","",""
"CIGARRO","CIGARROS                                          ","CIPALL","Pall Mall Pepino 20c PZA","407","21985.75","0","21985.75","","","",""
"DURAZNO","DURAZNOS                                          ","DUNUT","Durazno Nutrio Grand 820g","721","21919.6533","0","21919.6533","","","",""
"CIGARRO","CIGARROS                                          ","CISUE","CIGARRO PZ","4326","21632","0","21632","","","",""
"REF","REFRESCOS                                         ","RECOC3","Coca Cola 3lt","555","21190.8584","0","21190.8584","","","",""
"CRCOM","CREMAS COMESTIBLES                                ","CRALP2","CREMA Alpura  200ml","1740","21178.9796","0","21178.9796","","","",""
"QUE","QUESOS                                            ","QUOAXS","Queso Oaxaca Santana KG","278.845","21054.765","0","21054.765","","","",""
"CEREAL","CEREALES                                          ","CECHOGO","Choco Crispis GOLDEN kg","467.9","20863.2832","0","20863.2832","","","",""
"GALLETAS","GALLETAS","GASURGA","Surtido Rico GAMESA 436gr","562","20821.6957","0","20821.6957","","","",""
"DET","DETERGENTES ROPA","DESALL7+1","Salvo LIQUIDO  900ml","617","20791.1594","0","20791.1594","","","",""
"CAFES","CAFES","CANESCLS","Nescafe CLASICO   14gr SOBRE","2761","20749.6624","0","20749.6624","","","",""
"VELADORAS","VELADORAS","VELIMC","Limonero CIELO pz","1269","20441.03","0","20441.03","","","",""
"LEC","LECHES                                            ","LEALPSG","Alpura  SABOR  1lt","1008","20134.93376","0","20134.93376","","","",""
"DET","DETERGENTES ROPA","DEBLA5","Blanca Nieves   500gr","1349","19871.56","0","19871.56","","","",""
"ALIMENTOS","ALIMENTOS                                         ","ALBER","Alimento Beriscan Adulto","1065.25","19734.75","0","19734.75","","","",""
"LIMPIADORES","LIMPIADORES                                       ","LIFAB1","Fabuloso 1lt","990","19587.7472","0","19587.7472","","","",""
"ACEITES","ACEITES                                           ","ACCRI5","Aceite Cristal 500ml","1473","19486.9912","0","19486.9912","","","",""
"VELADORAS","VELADORAS","VEECOMSPR","Ecol media semana  PROFINA","1476","19372.32","0","19372.32","","","",""
"MAY","MAYONESAS                                         ","ADBAC","Aderezo BACHI 3.7kg","271","19231.4","0","19231.4","","","",""
"CHIENLA","CHILES ENLATADOS","CHRAJ2","Rajas COSTEÑA 220g","1869","19007.4248","0","19007.4248","","","",""
"DET","DETERGENTES ROPA","DEBLA1","Blanca Nieves  1kg","633","18881.959","0","18881.959","","","",""
"CAFES","CAFES","SUCREM","Sustituto Crema Members 1kg","222","18870","0","18870","","","",""
"CIGARRO","CIGARROS                                          ","CIMALV","Marlboro Doble Capsula Velvet 20c","304","18504.8","0","18504.8","","","",""
"CALDO","CALDOS                                            ","CANOR24","Knorr suiza SUPER 24cub","490","17913.2784","0","17913.2784","","","",""
"GALLETAS","GALLETAS","GAANIG","Animalitos GAPSA kg","591.55","17881.91","0","17881.91","","","",""
"DET","DETERGENTES ROPA","DEROM2","Roma   250gr","2282","17590.888","0","17590.888","","","",""
"GALLETAS","GALLETAS","GAOVA","Ovalada gapsa","590.88","17501.04","0","17501.04","","","",""
"ATUN","ATUNES                                            ","ATDOLG","Atun Dolores GD ACEITE 295g","511","17396.5684","0","17396.5684","","","",""
"LEPOL","LECHES EN POLVO                                   ","LENIDKG","Nido KINDER 1500g GD","78","17230.8","0","17230.8","","","",""
"SALS","SALSAS                                            ","SAVAL5","Valentina 360ml","1717","17015.6832","0","17015.6832","","","",""
"SARDINA","SARDINAS                                          ","SADOL","Sardina Dolores 425 gr","513","16952.388","0","16952.388","","","",""
"CIGARRO","CIGARROS                                          ","CIMAL100","Marlboro Doble Capsula 100 20pz","276","16947.9","0","16947.9","","","",""
"ALIMENTOS","ALIMENTOS                                         ","ALMIN","Alimento MININO kg","528.073","16884.0535","0","16884.0535","","","",""
"SUA","SUAVISANTES","SUENS9","Ensueño 850 ML","922","16563.0698","0","16563.0698","","","",""
"CALDO","CALDOS                                            ","CARIC3","Riko Pollo 3/11g","4166","16414.2","0","16414.2","","","",""
"PAPE","PAPEL                                             ","PAPERG","Periodico GD 25KG","39","16130","0","16130","","","",""
"CRCOM","CREMAS COMESTIBLES                                ","CRLAL2","CREMA Lala  200ml","1338","16063.9212","0","16063.9212","","","",""
"DET","DETERGENTES ROPA","DEARI85","Ariel 850g","562","15911.06","0","15911.06","","","",""
"SALS","SALSAS                                            ","SABBQL","BBQ Love & Kitchen 4kg","131","15882.8","0","15882.8","","","",""
"JUG","JUGOS","JUBOI5","Boing  500ml","2156","15862.901904","0","15862.901904","","","",""
"VELADORAS","VELADORAS","VECOPR","Copa  ROMA pza","842","15823.865","0","15823.865","","","",""
"LEC","LECHES                                            ","LEALPSC","Alpurita SABOR 250ml","2433","15625.856492","0","15625.856492","","","",""
"MANT","MANTEQUILLAS                                      ","MAIBEC","Iberia CH 90g","1899","15465.02","0","15465.02","","","",""
"JUG","JUGOS","JUBOI2","Boing  250ml","3487","15453.4024","0","15453.4024","","","",""
"CHOCOLATE","CHOCOLATES","CHABUC","Abuelita  CH c/360g","310","15396.3708","0","15396.3708","","","",""
"DES","DESECHABLES                                       ","VAREY8","Vaso Reyma #8 c/50pz","925","15236.396","0","15236.396","","","",""
"LEPOL","LECHES EN POLVO                                   ","LENAN38","Nan 3 720 GR","81","15050.85","0","15050.85","","","",""
"CAFES","CAFES","CANES35","Nescafe Clasico 350g","108","14994","0","14994","","","",""
"DET","DETERGENTES ROPA","DECAR5","Detergente CARISMA  500g","889","14966.5","0","14966.5","","","",""
"CALDO","CALDOS                                            ","CANOR8","Knorr Suiza SUPER  8cub","963","14775.9","0","14775.9","","","",""
"DET","DETERGENTES ROPA","DECAR1","Detergente CARISMA 1kg","425","14773.03","0","14773.03","","","",""
"CEREAL","CEREALES                                          ","CEFRO","Froot Loops Golden KG","385.145","14769.503","0","14769.503","","","",""
"CAFES","CAFES","CANESC22","Nescafe CLASICO 225g","149","14515.9996","0","14515.9996","","","",""
"CAFES","CAFES","CAESMG","Esmart Instantaneo GRANDE 20 PZ","114","14466.6","0","14466.6","","","",""
"SEM","SEMILLAS                                          ","SEPINA","PINTO KG","536.22","14447.86","0","14447.86","","","",""
"MAY","MAYONESAS                                         ","MAMAC64","Mayonesa McCormick 64 1.4kg","153","14425.5596","0","14425.5596","","","",""
"ACEITES","ACEITES                                           ","ACMAR2","Aceite Maravilla 20lt","29","14345","0","14345","","","",""
"SALS","SALSAS                                            ","JUSAZZ","Jugo Sazonador Zafran 4.1kg","50","14283.16","0","14283.16","","","",""
"REF","REFRESCOS                                         ","RECOCL","Coca Cola   Lata","1112","14264.32","0","14264.32","","","",""
"VIN","VINOS                                             ","CEMOD","Modelo lata 355ml","898","14234.555288","0","14234.555288","","","",""
"VELADORAS","VELADORAS","VEREPC","Veladora Repuesto Carmina","1527","14214.06","0","14214.06","","","",""
"ACEITES","ACEITES                                           ","ACCAP1","Aceite Capullo 845ml","494","14167.4138","0","14167.4138","","","",""
"SALC","SALCHICHAS                                        ","SAVIV3","SALCHICHA VIVA 3KG","130","13886.8","0","13886.8","","","",""
"SYS","LINEA GENERAL","PRES","prestamo","8232","13872","0","13872","","","",""
"HIGIENICO","HIGIENICOS                                        ","HIREG6","REGIO 600 H","451","13735.2","0","13735.2","","","",""
"SEM","SEMILLAS                                          ","SEALP","Alpiste SIMPLE KG","638.89","13727.21","0","13727.21","","","",""
"PIÑ","PIÑAS                                             ","PIMAX8","Piña MAXIMA Rebanadas 800g","360","13693.7844","0","13693.7844","","","",""
"VELADORAS","VELADORAS","VEECOSP","Ecol semanaria PROFINA","567","13651.675","0","13651.675","","","",""
"VELADORAS","VELADORAS","VECUBD","Cubero Diamante Profina","814","13644.1","0","13644.1","","","",""
"CERILLO","CERILLOS                                          ","CEMAY","Cerillo MAYA pza","14262","13612.46","0","13612.46","","","",""
"PIÑ","PIÑAS                                             ","PISAN8","Piña  Rebanadas SAN MARCOS 800g","360","13530.7179","0","13530.7179","","","",""
"YOG","YOGHURT                                           ","YODANU","Danup pza","1640","13397.9364","0","13397.9364","","","",""
"SALS","SALSAS                                            ","SAINGZG","Salsa Inglesa Zafran 3.9","71","13363.95","0","13363.95","","","",""
"CIGARRO","CIGARROS                                          ","CIMALB","Marlboro BLANCO 20c","219","13345.6","0","13345.6","","","",""
"LIMPIADORES","LIMPIADORES                                       ","LIPIN1","Pinol 828 ML","772","13310.477","0","13310.477","","","",""
"VELADORAS","VELADORAS","VEFAR3","Farol #3  PZ","1745","13265.8","0","13265.8","","","",""
"SUA","SUAVISANTES","SUSUAAP","Suavitel Adios al Planchado 800ml","646","13263.7988","0","13263.7988","","","",""
"MAY","MAYONESAS                                         ","MAMAC32","Mayonesa McCormick 32 725g","239","13260.8","0","13260.8","","","",""
"QUE","QUESOS                                            ","QUBLA","Queso Blanco ARBOLITOS kg","205.04","13110.225","0","13110.225","","","",""
"ESPECIE","ESPECIES                                          ","ESCAN","Canela C2 DELGADA Kg","33.004","13106.3","0","13106.3","","","",""
"PIÑ","PIÑAS                                             ","PICLET","Piña  Clemente TROZOS  800g","317","12896.0816","0","12896.0816","","","",""
"CIGARRO","CIGARROS                                          ","CIGAR","Garañon ROJO 20cig","628","12821","0","12821","","","",""
"REF","REFRESCOS                                         ","RECOC6","Coca Cola   600ml","983","12757.5188","0","12757.5188","","","",""
"SEM","SEMILLAS                                          ","SEARRSA","Arroz SOS AZUL 1kg","454","12734.5636","0","12734.5636","","","",""
"TOALLA","toallas","TOSABB","Saba BUENAS NOCHES C/8pz","646","12729.5322","0","12729.5322","","","",""
"ACEITES","ACEITES                                           ","ACVIC1","Aceite VICTORIA 900ml","578","12705.01356","0","12705.01356","","","",""
"TOS","TOSTADAS                                          ","TOCHA","Tostadas CHARRAS 300g","621","12616.5048","0","12616.5048","","","",""
"CALDO","CALDOS                                            ","CANORB1","Knorr suiza BOLSA 1kg","125","12559","0","12559","","","",""
"SEM","SEMILLAS                                          ","SEARRM","Arroz Morelos AZUL 900g","381","12500.7","0","12500.7","","","",""
"VIN","VINOS                                             ","VIRAN","Rancho escondido 750ml","229","12345.0584","0","12345.0584","","","",""
"CHIENLA","CHILES ENLATADOS","CHCHI8","Chipotle  100g SAN MARCOS","1494","12313.146","0","12313.146","","","",""
"HIGIENICO","HIGIENICOS                                        ","HIPETY","Petalo Jumbo 4r/400hjs","553","12174.95","0","12174.95","","","",""
"ESPECIE","ESPECIES                                          ","ESCANG","Canela H2 GRUESA kg","33.821","12156.496","0","12156.496","","","",""
"CAFES","CAFES","CALEGCA","Legal   c/CANELA 34g","1811","11892.327","0","11892.327","","","",""
"JAM","JAMON                                             ","MAPOS","Maiz Pozolero PRE COCIDO 1Kg","786","11805","0","11805","","","",""
"SER","SERVILLETAS                                       ","SEPET5","Servilleta PETALO 420hj","299","11730.23","0","11730.23","","","",""
"ESPECIE","ESPECIES                                          ","SOMERN","Somerio Amarillo KG","108.152","11654.44","0","11654.44","","","",""
"REF","REFRESCOS                                         ","REVOLL","Volt LATA 433ml","826","11521.6815","0","11521.6815","","","",""
"MAN","MANTECAS                                          ","MACAM","Manteca CAMPANA 23kg","22","11495.5","0","11495.5","","","",""
"ACEITES","ACEITES                                           ","ACMAR5","Aceite Maravilla 500ml","876","11486.7492","0","11486.7492","","","",""
"POL","POLVOS                                            ","POTANA","Tang  SURTIDO 25g","3377","11247.2696","0","11247.2696","","","",""
"TOCADOR","JABON DE TOCADOR                                  ","JTPAL2","Palmolive Naturals 160gr","1055","11244.38","0","11244.38","","","",""
"HARINA","HARINAS                                           ","HASAN1","San Blas 1kg","960","11240","0","11240","","","",""
"GALLETAS","GALLETAS","GACRAG","Crackets 20/135g GRANDE","53","11235","0","11235","","","",""
"ALUMINIOS","ALUMINIOS                                         ","ALREY","Reynolds wrap 8M","405","11213.5708","0","11213.5708","","","",""
"CALDO","CALDOS                                            ","CANOR12","Knorr suiza SUPER 12cub","452","11070","0","11070","","","",""
"CHISEC","CHILES SECOS                                      ","CHSECGU","GUAJILLO KG","125.295","10938.24","0","10938.24","","","",""
"VELADORAS","VELADORAS","VEFAR2","Farol #2  PZ","1536","10860.56","0","10860.56","","","",""
"DURAZNO","DURAZNOS                                          ","DUCAM","Durazno  Camino Santiago 820","321","10577.1894","0","10577.1894","","","",""
"SEM","SEMILLAS                                          ","SENAY","NAYARIT ORIGEN KG","407.32","10535.14","0","10535.14","","","",""
"CIGARRO","CIGARROS                                          ","CISOB","Soberano Rojo","519","10404","0","10404","","","",""
"DET","DETERGENTES ROPA","DEARI5","Ariel 500gr","529","10239.6333","0","10239.6333","","","",""
"VELADORAS","VELADORAS","VEMINC","MINI Cafetero Inmaculada","1313","10233.76","0","10233.76","","","",""
"MAIZ","MAIZENAS                                          ","HAMAIESCH","Maizena CHOCOLATE 24/47g","72","10221","0","10221","","","",""
"VELADORAS","VELADORAS","VELIMLU","Limonero LUZ ETERNA pz","552","10184.7","0","10184.7","","","",""
"ATUN","ATUNES                                            ","ATDOLA","Atun Dolores CH AGUA 140 gr","632","10159.6436","0","10159.6436","","","",""
"YOG","YOGHURT                                           ","YODANB","DANONE Bebible 250g","1335","10138.1186","0","10138.1186","","","",""
"VELADORAS","VELADORAS","VEECOES1","Ecol ESMERALDA #1","111","10120.078","0","10120.078","","","",""
"PAÑ","PAÑALES                                           ","PAABSG4","Absorsec GD c/40p","94","10119.17","0","10119.17","","","",""
"TOCADOR","JABON DE TOCADOR                                  ","JTZET15","Zest 150g","926","9987.17076","0","9987.17076","","","",""
"CIGARRO","CIGARROS                                          ","CIPALA","Pall Mall Alaska 20c PZA","186","9944","0","9944","","","",""
"FRENL","FRIJOLES EN LATADOS                               ","FRSIERB5","Frijol Sierra REFRI BAYO 580GR","687","9938.2092","0","9938.2092","","","",""
"VELADORAS","VELADORAS","VECAFC","Cafetero CIELO DECORADO","594","9932.4","0","9932.4","","","",""
"POL","POLVOS                                            ","POZUK","Zuko  SURTIDO 25g","2977","9876.92","0","9876.92","","","",""
"VIN","VINOS                                             ","VI100A","Tequila 100 Años Azul 700ml","69","9787.4","0","9787.4","","","",""
"MANT","MANTEQUILLAS                                      ","MAIBE1","Iberia 1k","154","9736.7","0","9736.7","","","",""
"PEGAMENTO","PEGAMENTOS                                        ","PEKOL","Kola Loka pza","583","9713.78","0","9713.78","","","",""
"ALIMENTOS","ALIMENTOS                                         ","ALDOGP","Alimento Dog Chow Cachorro","228.725","9673.9525","0","9673.9525","","","",""
"LEPOL","LECHES EN POLVO                                   ","LENAN1","Nan 1 CH 350 gr","71","9560.15","0","9560.15","","","",""
"CRCOM","CREMAS COMESTIBLES                                ","CRLAL1","CREMA Lala 900g","193","9530.8002","0","9530.8002","","","",""
"VELADORAS","VELADORAS","VECIRMES","Cirio MEDIANO Espiritu Santo","1793","9530","0","9530","","","",""
"SER","SERVILLETAS                                       ","SEPET1","Servilleta PETALO 100 PZ","995","9489.1944","0","9489.1944","","","",""
"VELADORAS","VELADORAS","VECUBINL","CUBERO INMACULADA LISO","617","9463","0","9463","","","",""
"CLORO","CLOROS                                            ","CLGOL4","Golondrina 4lt","303","9455.0214","0","9455.0214","","","",""
"SALS","SALSAS                                            ","SAMICG","Mi Catsup Clemente GARAFA  4kg","143","9394","0","9394","","","",""
"DET","DETERGENTES ROPA","DEAUD","Detergente Audax AZUL kg","482.77","9378.4","0","9378.4","","","",""
"VELADORAS","VELADORAS","VEMARAZ","Mariana AZUL FAMA PZ","586","9264.7","0","9264.7","","","",""
"SALC","SALCHICHAS                                        ","SAFUDP","Salc. Fud PAVO SENCILLA 266g","570","9147.2","0","9147.2","","","",""
"LEPOL","LECHES EN POLVO                                   ","LENAN2G","Nan 2 GD 720 gr","39","9139.23","0","9139.23","","","",""
"SUA","SUAVISANTES","SUDAW8","Downy SURTIDO  800ml","411","9077.3894","0","9077.3894","","","",""
"VELADORAS","VELADORAS","VECERP4","Cera PROFINA c/4pza","161","9069.98","0","9069.98","","","",""
"GALLETAS","GALLETAS","GAMARL","Marias LARA 170g","1287","9030.8","0","9030.8","","","",""
"SEM","SEMILLAS                                          ","SENAYL","Nayarit LIMPIO  cribado gr","332.745","9027.105","0","9027.105","","","",""
"CIGARRO","CIGARROS                                          ","CILINC","Cigarro Link CAPSULA 20c","417","8994.981","0","8994.981","","","",""
"PAÑ","PAÑALES                                           ","PASUAJ4","Suavelastic JUM 40pz","51","8949.5","0","8949.5","","","",""
"ALIMENTOS","ALIMENTOS                                         ","ALWHI","WHISKAS KG","229.265","8847.4925","0","8847.4925","","","",""
"CHIENLA","CHILES ENLATADOS","CHCHI1","Chipotle  800g SAN MARCOS","161","8833","0","8833","","","",""
"CHOCOLATE","CHOCOLATES","CHTRE","Chocolate Tres CARABELAS 100 g","460","8792.1","0","8792.1","","","",""
"CHIENLA","CHILES ENLATADOS","CHCHI5","Chipotle  380g SAN MARCOS","292","8746.2584","0","8746.2584","","","",""
"LEPOL","LECHES EN POLVO                                   ","LENIDG","Nido CLASICA 1600g GD FORTI","41","8669.5669","0","8669.5669","","","",""
"ESPECIE","ESPECIES                                          ","ESPIL","Piloncillo kg","356.44","8580.36","0","8580.36","","","",""
"SEM","SEMILLAS                                          ","SEPER","Peruano kg","198.05","8565.15","0","8565.15","","","",""
"GALLETAS","GALLETAS","GASURF8","Surtido FIESTA 800gr","163","8501.9","0","8501.9","","","",""
"VELADORAS","VELADORAS","VECERP8","Cera PROFINA c/8pza","143","8313.7","0","8313.7","","","",""
"YOG","YOGHURT                                           ","YOSOY4","SOYAGURTH 4 LT","115","8274","0","8274","","","",""
